id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
550,Fight Club,8.438,27238,1999-10-15,100853753,139,False,63000000,69.498,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Drama
680,Pulp Fiction,8.488,25893,1994-09-10,213900000,154,False,8500000,74.862,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,"Thriller, Crime"
68718,Django Unchained,8.171,24672,2012-12-25,425368238,165,False,100000000,54.224,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"Drama, Western"
278,The Shawshank Redemption,8.702,24649,1994-09-23,28341469,142,False,25000000,122.61,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,"Drama, Crime"
11324,Shutter Island,8.2,22318,2010-02-14,294800000,138,False,80000000,56.595,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,"Drama, Thriller, Mystery"
106646,The Wolf of Wall Street,8.035,22222,2013-12-25,392000000,180,False,100000000,97.444,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,"Crime, Drama, Comedy"
76341,Mad Max: Fury Road,7.582,20911,2015-05-13,378858340,121,False,150000000,78.319,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,"Action, Adventure, Science Fiction"
16869,Inglourious Basterds,8.215,20746,2009-08-19,321457747,153,False,70000000,59.162,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,"Drama, Thriller, War"
1771,Captain America: The First Avenger,6.995,20269,2011-07-22,370569774,124,False,140000000,43.665,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,"Action, Adventure, Science Fiction"
272,Batman Begins,7.701,19561,2005-06-10,374218673,140,False,150000000,66.286,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,"Action, Crime, Drama"
807,Se7en,8.368,19403,1995-09-22,327311859,127,False,33000000,53.521,/6yoghtyTpznpBik8EngEmJskVUO.jpg,"Crime, Mystery, Thriller"
238,The Godfather,8.707,18677,1972-03-14,245066411,175,False,6000000,158.448,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Drama, Crime"
105,Back to the Future,8.314,18442,1985-07-03,381109762,116,False,19000000,62.543,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,"Adventure, Comedy, Science Fiction"
245891,John Wick,7.421,17923,2014-10-22,88761661,101,False,20000000,55.739,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,"Action, Thriller"
210577,Gone Girl,7.892,17381,2014-10-01,369330363,149,False,61000000,46.611,/qymaJhucquUwjpb8oiqynMeXnID.jpg,"Mystery, Thriller, Drama"
862,Toy Story,7.971,17152,1995-10-30,394400000,81,False,30000000,78.404,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Animation, Adventure, Family, Comedy"
37165,The Truman Show,8.133,16827,1998-06-04,264118201,103,False,60000000,42.954,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,"Comedy, Drama"
329865,Arrival,7.6,16564,2016-11-10,203388186,116,False,47000000,47.983,/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,"Drama, Science Fiction, Mystery"
496243,Parasite,8.515,16430,2019-05-30,257591776,133,False,11363000,64.627,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,"Comedy, Thriller, Drama"
381288,Split,7.337,16345,2017-01-19,278454358,117,False,9000000,44.51,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,"Horror, Thriller"
694,The Shining,8.218,16205,1980-05-23,44781695,144,False,19000000,45.252,/xazWoLealQwEgqZ89MLZklLZD3k.jpg,"Horror, Thriller"
24,Kill Bill: Vol. 1,7.97,16188,2003-10-10,180906076,111,False,30000000,36.315,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,"Action, Crime"
77338,The Intouchables,8.277,16083,2011-11-02,426588510,113,False,13000000,41.656,/323BP0itpxTsO0skTwdnVmf7YC9.jpg,"Drama, Comedy"
419430,Get Out,7.62,16081,2017-02-24,255407969,104,False,4500000,36.442,/mE24wUCfjK8AoBBjaMjho7Rczr7.jpg,"Mystery, Thriller, Horror"
205596,The Imitation Game,8.007,15973,2014-11-14,233555708,113,False,14000000,47.491,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,"History, Drama, Thriller, War"
497,The Green Mile,8.507,15937,1999-12-10,286801374,189,False,60000000,83.739,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,"Fantasy, Drama, Crime"
198663,The Maze Runner,7.173,15901,2014-09-10,348319861,113,False,34000000,83.206,/ode14q7WtDugFDp78fo9lCsmay9.jpg,"Action, Mystery, Science Fiction, Thriller"
207703,Kingsman: The Secret Service,7.636,15664,2014-12-13,414351546,129,False,81000000,56.288,/ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,"Crime, Comedy, Action, Adventure"
274,The Silence of the Lambs,8.3,15003,1991-02-14,272742922,119,False,19000000,9.119,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,"Crime, Drama, Thriller"
129,Spirited Away,8.539,14913,2001-07-20,274925095,125,False,19000000,68.024,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,"Animation, Family, Fantasy"
75656,Now You See Me,7.345,14726,2013-05-29,351723989,116,False,75000000,45.241,/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg,"Thriller, Crime"
1124,The Prestige,8.203,14696,2006-10-19,109676311,130,False,40000000,48.832,/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,"Drama, Mystery, Science Fiction"
339403,Baby Driver,7.5,14634,2017-06-28,226945087,113,False,34000000,44.974,/rmnQ9jKW72bHu8uKlMjPIb2VLMI.jpg,"Action, Crime"
424,Schindler's List,8.573,14594,1993-12-15,321365567,195,False,22000000,65.084,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,"Drama, History, War"
640,Catch Me If You Can,7.971,14393,2002-12-16,352114312,141,False,52000000,44.814,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,"Drama, Crime"
324857,Spider-Man: Into the Spider-Verse,8.404,14024,2018-12-06,375464627,117,False,90000000,80.675,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"Action, Adventure, Animation, Science Fiction"
244786,Whiplash,8.381,13891,2014-10-10,13092000,107,False,3300000,54.495,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,"Drama, Music"
1422,The Departed,8.166,13792,2006-10-04,291465000,151,False,90000000,42.503,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,"Drama, Thriller, Crime"
120467,The Grand Budapest Hotel,8.049,13787,2014-02-26,174600318,100,False,30000000,33.966,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,"Comedy, Drama"
77,Memento,8.188,13723,2000-10-11,39723096,113,False,9000000,31.795,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,"Mystery, Thriller"
38,Eternal Sunshine of the Spotless Mind,8.101,13709,2004-03-19,72258126,108,False,20000000,54.124,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,"Science Fiction, Drama, Romance"
101,Léon: The Professional,8.316,13652,1994-09-14,45284974,111,False,16000000,58.625,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,"Crime, Drama, Action"
44214,Black Swan,7.672,13567,2010-12-03,329398046,108,False,13000000,34.932,/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg,"Drama, Thriller, Horror"
752,V for Vendetta,7.897,13556,2006-02-23,132511035,132,False,54000000,42.174,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,"Action, Thriller, Science Fiction"
152601,Her,7.862,13407,2013-12-18,47351251,126,False,23000000,37.608,/eCOtqtfvn7mxGl6nfmq4b1exJRc.jpg,"Romance, Science Fiction, Drama"
500,Reservoir Dogs,8.132,13296,1992-09-02,2859750,99,False,1200000,34.018,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,"Crime, Thriller"
273248,The Hateful Eight,7.746,13291,2015-12-25,155760117,188,False,44000000,32.119,/jIywvdPjia2t3eKYbjVTcwBQlG8.jpg,"Drama, Mystery, Western"
348,Alien,8.147,13206,1979-05-25,104931801,117,False,11000000,72.767,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,"Horror, Science Fiction"
447332,A Quiet Place,7.396,13079,2018-04-03,341000000,91,False,17000000,38.002,/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,"Horror, Drama, Science Fiction"
393,Kill Bill: Vol. 2,7.876,12916,2004-04-16,152159461,136,False,30000000,37.053,/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg,"Action, Crime, Thriller"
137113,Edge of Tomorrow,7.606,12828,2014-05-27,370541256,114,False,178000000,51.408,/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg,"Action, Science Fiction"
78,Blade Runner,7.931,12770,1982-06-25,41722424,118,False,28000000,56.798,/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,"Science Fiction, Drama, Thriller"
